resumed 36 run(s) from checkpoints
CodeNotary notary tool gateway listening on http://0.0.0.0:18090
Health: GET /health
Metrics: GET /metrics (Prometheus text exposition)
Tool call: POST /tools/{scenario_id}/{tool_call}
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /metrics HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/qb_inhouse_fix/notary_skill.list HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/mb_delivery_semantics_ambiguous/notary_state.get HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/mb_delivery_semantics_ambiguous/notary_state.get HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/mb_delivery_semantics_ambiguous/reset HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/mb_delivery_semantics_ambiguous/notary_state.get HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "POST /tools/mb_delivery_semantics/reset HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /policy HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
